Module,Path,Files,Lines,Size_Bytes,Python_Files,Test_Files,Complexity_Score
.continue,.continue,1,123,3410,0,0,0.0
config.yaml,.continue\config.yaml,1,123,3410,0,0,0.0
.copilot,.copilot,13,2763,112410,0,0,0.0
DEVELOPMENT_PHILOSOPHY.md,.copilot\DEVELOPMENT_PHILOSOPHY.md,1,212,7210,0,0,0.0
README.md,.copilot\README.md,1,318,15846,0,0,0.0
architecture,.copilot\architecture,1,203,11262,0,0,0.0
config,.copilot\config,3,164,4180,0,0,0.0
development_alignment_checklist.md,.copilot\development_alignment_checklist.md,1,91,3967,0,0,0.0
development_config.md,.copilot\development_config.md,1,133,4962,0,0,0.0
project_status.json,.copilot\project_status.json,1,606,23452,0,0,0.0
storypack_structure_guide.md,.copilot\storypack_structure_guide.md,1,264,9604,0,0,0.0
tasks,.copilot\tasks,3,772,31927,0,0,0.0
.dockerignore,.dockerignore,1,137,2129,0,0,0.0
.git,.git,1775,54844,6719206,0,0,0.0
COMMIT_EDITMSG,.git\COMMIT_EDITMSG,1,2,81,0,0,0.0
FETCH_HEAD,.git\FETCH_HEAD,1,1,0,0,0,0.0
HEAD,.git\HEAD,1,2,21,0,0,0.0
ORIG_HEAD,.git\ORIG_HEAD,1,2,41,0,0,0.0
config,.git\config,1,59,2849,0,0,0.0
description,.git\description,1,2,73,0,0,0.0
hooks,.git\hooks,14,882,25827,0,0,0.0
index,.git\index,1,235,54492,0,0,0.0
info,.git\info,1,7,240,0,0,0.0
logs,.git\logs,10,682,128539,0,0,0.0
objects,.git\objects,1728,51972,6477427,0,0,0.0
packed-refs,.git\packed-refs,1,3,112,0,0,0.0
refs,.git\refs,9,18,358,0,0,0.0
.github,.github,4,435,19320,0,0,0.0
DEVELOPMENT_STATUS.md,.github\DEVELOPMENT_STATUS.md,1,60,2946,0,0,0.0
MODULE_STATUS.md,.github\MODULE_STATUS.md,1,91,4863,0,0,0.0
TASK_REGISTRY.md,.github\TASK_REGISTRY.md,1,170,6648,0,0,0.0
copilot-instructions.md,.github\copilot-instructions.md,1,114,4863,0,0,0.0
.gitignore,.gitignore,1,542,9826,0,0,0.0
.pytest_cache,.pytest_cache,5,814,75037,0,5,0.0
.gitignore,.pytest_cache\.gitignore,1,3,39,0,1,0.0
CACHEDIR.TAG,.pytest_cache\CACHEDIR.TAG,1,5,191,0,1,0.0
README.md,.pytest_cache\README.md,1,9,310,0,1,0.0
v,.pytest_cache\v,2,797,74497,0,2,0.0
.vscode,.vscode,3,136,3790,0,0,0.0
launch.json,.vscode\launch.json,1,34,965,0,0,0.0
settings.json,.vscode\settings.json,1,41,1060,0,0,0.0
tasks.json,.vscode\tasks.json,1,61,1765,0,0,0.0
ARCHITECTURE_GUIDE.md,ARCHITECTURE_GUIDE.md,1,375,12872,0,0,0.0
CODEBASE_REFRESH_REPORT.md,CODEBASE_REFRESH_REPORT.md,1,5,81,0,0,0.0
CODE_REVIEW_REPORT.md,CODE_REVIEW_REPORT.md,1,831,30631,0,0,0.0
CREDITS.md,CREDITS.md,1,36,1672,0,0,0.0
DEVELOPMENT_MASTER_PLAN.md,DEVELOPMENT_MASTER_PLAN.md,1,629,22472,0,0,0.0
DISCLAIMER.md,DISCLAIMER.md,1,174,7776,0,0,0.0
Dockerfile,Dockerfile,1,75,2480,0,0,0.0
LICENSE-content.md,LICENSE-content.md,1,37,1219,0,0,0.0
LICENSE.md,LICENSE.md,1,46,1947,0,0,0.0
NOTICE.md,NOTICE.md,1,31,1504,0,0,0.0
PRIVACY.md,PRIVACY.md,1,168,6769,0,0,0.0
PROJECT_WORKFLOW_OVERVIEW.md,PROJECT_WORKFLOW_OVERVIEW.md,1,1341,36688,0,0,0.0
README.md,README.md,1,348,11863,0,0,0.0
TERMS.md,TERMS.md,1,57,2415,0,0,0.0
analysis,analysis,57,65814,2817812,3,0,0.2807017543859649
code_review,analysis\code_review,1,60,1924,0,0,0.0
import_staging,analysis\import_staging,6,110,9386,0,0,0.0
legacy_cleanup_plan.md,analysis\legacy_cleanup_plan.md,1,283,9443,0,0,0.0
organizational_structures,analysis\organizational_structures,1,134,4244,0,0,0.0
phase_1_week_1_completion_report.md,analysis\phase_1_week_1_completion_report.md,1,176,7140,0,0,0.0
phase_5a_analyzer.py,analysis\phase_5a_analyzer.py,1,84,3591,1,0,11.0
phase_5a_component_specs.py,analysis\phase_5a_component_specs.py,1,423,18039,1,0,1.0
phase_5a_day1_analysis.py,analysis\phase_5a_day1_analysis.py,1,266,9570,1,0,4.0
phase_5a_memory_optimization_completion_report.md,analysis\phase_5a_memory_optimization_completion_report.md,1,143,6077,0,0,0.0
template_research,analysis\template_research,43,64135,2748398,0,0,0.0
codebase_summary.csv,codebase_summary.csv,1,2486,211061,0,0,0.0
codebase_summary.json,codebase_summary.json,1,44149,1234907,0,0,0.0
config,config,20,1421,38811,0,0,0.0
backups,config\backups,2,118,3499,0,0,0.0
models,config\models,16,1215,32660,0,0,0.0
registry_settings.json,config\registry_settings.json,1,29,902,0,0,0.0
system_config.json,config\system_config.json,1,59,1750,0,0,0.0
core,core,269,68624,2797089,172,0,12.639405204460967
__init__.py,core\__init__.py,1,1,0,1,0,1.0
analysis,core\analysis,97,30530,1254669,0,0,0.0
character_management,core\character_management,13,3313,141050,13,0,26.76923076923077
content_analysis,core\content_analysis,15,1864,83270,15,0,12.933333333333334
context_systems,core\context_systems,2,406,17423,2,0,20.5
database.py,core\database.py,1,94,3717,1,0,1.0
database_systems,core\database_systems,10,1618,66495,10,0,11.5
image_systems,core\image_systems,14,3275,128842,14,0,24.357142857142858
management_systems,core\management_systems,17,3775,155120,17,0,19.294117647058822
memory_management,core\memory_management,20,5662,223941,20,0,28.25
model_adapters,core\model_adapters,8,1041,39604,8,0,10.375
model_management,core\model_management,6,2388,106347,6,0,44.166666666666664
model_registry,core\model_registry,5,1745,71858,5,0,27.8
narrative_systems,core\narrative_systems,24,7275,290859,24,0,22.916666666666668
performance,core\performance,1,13,262,1,0,1.0
scene_systems,core\scene_systems,14,2386,90272,14,0,12.357142857142858
shared,core\shared,7,1580,57612,7,0,20.428571428571427
story_loader.py,core\story_loader.py,1,50,1590,1,0,6.0
timeline_systems,core\timeline_systems,13,1608,64158,13,0,8.153846153846153
docker-compose.yaml,docker-compose.yaml,1,65,2007,0,0,0.0
docs,docs,67,13352,549950,4,0,0.8059701492537313
archive,docs\archive,65,12835,528756,4,0,0.8307692307692308
consolidation,docs\consolidation,2,517,21194,0,0,0.0
import,import,31,3760,170234,0,0,0.0
BattleChasers,import\BattleChasers,26,3662,166482,0,0,0.0
FantasyAdventure,import\FantasyAdventure,2,4,154,0,0,0.0
README.md,import\README.md,1,90,3447,0,0,0.0
SciFiThriller,import\SciFiThriller,2,4,151,0,0,0.0
logs,logs,39,57298,8439031,0,0,0.0
DeepSeek_CoreAnalysis_0729.txt,logs\DeepSeek_CoreAnalysis_0729.txt,1,14,1461,0,0,0.0
DeepSeek_bookmark_manager.py.txt,logs\DeepSeek_bookmark_manager.py.txt,1,16,2534,0,0,0.0
DeepSeek_bookmark_manager_0728.txt,logs\DeepSeek_bookmark_manager_0728.txt,1,13,1716,0,0,0.0
DeepSeek_character_consistency_engine_0728.txt,logs\DeepSeek_character_consistency_engine_0728.txt,1,12,1661,0,0,0.0
DeepSeek_character_interaction_engine_0728.txt,logs\DeepSeek_character_interaction_engine_0728.txt,1,20,2063,0,0,0.0
DeepSeek_character_stat_engine_0728.txt,logs\DeepSeek_character_stat_engine_0728.txt,1,6,468,0,0,0.0
DeepSeek_character_style_manager_0728.txt,logs\DeepSeek_character_style_manager_0728.txt,1,6,704,0,0,0.0
DeepSeek_content_analyzer_0728.txt,logs\DeepSeek_content_analyzer_0728.txt,1,16,1479,0,0,0.0
DeepSeek_context_builder_0728.txt,logs\DeepSeek_context_builder_0728.txt,1,26,2827,0,0,0.0
DeepSeek_database_0728.txt,logs\DeepSeek_database_0728.txt,1,4,278,0,0,0.0
DeepSeek_emotional_stability_engine_0728.txt,logs\DeepSeek_emotional_stability_engine_0728.txt,1,22,2128,0,0,0.0
DeepSeek_image_adapter_0728.txt,logs\DeepSeek_image_adapter_0728.txt,1,14,2007,0,0,0.0
DeepSeek_image_generation_engine_0728.txt,logs\DeepSeek_image_generation_engine_0728.txt,1,12,1327,0,0,0.0
DeepSeek_intelligent_response_engine_0728.txt,logs\DeepSeek_intelligent_response_engine_0728.txt,1,6,392,0,0,0.0
DeepSeek_memory_consistency_engine_0728.txt,logs\DeepSeek_memory_consistency_engine_0728.txt,1,46,2740,0,0,0.0
DeepSeek_memory_manager_0728.txt,logs\DeepSeek_memory_manager_0728.txt,1,22,1898,0,0,0.0
DeepSeek_model_adapter_0728.txt,logs\DeepSeek_model_adapter_0728.txt,1,66,2458,0,0,0.0
DeepSeek_narrative_dice_engine_0728.txt,logs\DeepSeek_narrative_dice_engine_0728.txt,1,15,1153,0,0,0.0
DeepSeek_rollback_engine_0728.txt,logs\DeepSeek_rollback_engine_0728.txt,1,66,3609,0,0,0.0
DeepSeek_scene_logger_0728.txt,logs\DeepSeek_scene_logger_0728.txt,1,4,45,0,0,0.0
DeepSeek_search_engine_0728.txt,logs\DeepSeek_search_engine_0728.txt,1,4,421,0,0,0.0
DeepSeek_story_loader_0728.txt,logs\DeepSeek_story_loader_0728.txt,1,16,1662,0,0,0.0
DeepSeek_timeline_builder_0728.txt,logs\DeepSeek_timeline_builder_0728.txt,1,18,835,0,0,0.0
DeepSeek_token_manager_0728.txt,logs\DeepSeek_token_manager_0728.txt,1,20,2304,0,0,0.0
WizardCoder13b_CoreAnalysis_0729.txt,logs\WizardCoder13b_CoreAnalysis_0729.txt,1,129,5756,0,0,0.0
WizardCoder_bookmark_manager_0728.txt,logs\WizardCoder_bookmark_manager_0728.txt,1,3,115,0,0,0.0
WizardCoder_character_consistency_engine_0728.txt,logs\WizardCoder_character_consistency_engine_0728.txt,1,9,1129,0,0,0.0
WizardCoder_character_interaction_engine_0728.txt,logs\WizardCoder_character_interaction_engine_0728.txt,1,16,1276,0,0,0.0
WizardCoder_character_stat_engine_0728.txt,logs\WizardCoder_character_stat_engine_0728.txt,1,9,1435,0,0,0.0
WizardCoder_character_style_manager_0728.txt,logs\WizardCoder_character_style_manager_0728.txt,1,423,19077,0,0,0.0
WizardCoder_content_analyzer_0728.txt,logs\WizardCoder_content_analyzer_0728.txt,1,31,928,0,0,0.0
WizardCoder_context_builder_0728.txt,logs\WizardCoder_context_builder_0728.txt,1,414,17105,0,0,0.0
WizardCoder_database_0728.txt,logs\WizardCoder_database_0728.txt,1,457,19264,0,0,0.0
WizardCoder_emotional_stability_engine_0728.txt,logs\WizardCoder_emotional_stability_engine_0728.txt,1,3,170,0,0,0.0
WizardCoder_image_adapter_0728.txt,logs\WizardCoder_image_adapter_0728.txt,1,408,14952,0,0,0.0
WizardCoder_image_generation_engine_0728.txt,logs\WizardCoder_image_generation_engine_0728.txt,1,411,18691,0,0,0.0
model_interactions.jsonl,logs\model_interactions.jsonl,1,198,39804,0,0,0.0
openchronicle.log.1,logs\openchronicle.log.1,1,35744,5242831,0,0,0.0
system_events.jsonl,logs\system_events.jsonl,1,18579,3018328,0,0,0.0
main.py,main.py,1,719,29283,1,0,93.0
module_analysis.csv,module_analysis.csv,1,185,12241,0,0,0.0
pyproject.toml,pyproject.toml,1,26,756,0,0,0.0
requirements.txt,requirements.txt,1,42,2145,0,0,0.0
storage,storage,145,18612,11886160,0,112,0.0
README.md,storage\README.md,1,118,4540,0,0,0.0
characters,storage\characters,8,79,1739,0,6,0.0
data,storage\data,64,8858,6844616,0,53,0.0
narrative_systems,storage\narrative_systems,1,22,526,0,0,0.0
performance_baseline.json,storage\performance_baseline.json,1,7,183,0,0,0.0
storypacks,storage\storypacks,23,2247,260940,0,6,0.0
temp,storage\temp,47,7281,4773616,0,47,0.0
templates,templates,11,1598,53643,0,0,0.0
README.md,templates\README.md,1,170,6202,0,0,0.0
character_template.json,templates\character_template.json,1,273,9049,0,0,0.0
chatbot_template.json,templates\chatbot_template.json,1,108,3542,0,0,0.0
content_template.json,templates\content_template.json,1,263,8293,0,0,0.0
instructions_template.json,templates\instructions_template.json,1,81,2860,0,0,0.0
location_template.json,templates\location_template.json,1,73,2616,0,0,0.0
meta_template.json,templates\meta_template.json,1,77,2569,0,0,0.0
narrative_template.json,templates\narrative_template.json,1,205,6853,0,0,0.0
scene_template.json,templates\scene_template.json,1,84,2795,0,0,0.0
style_guide_template.json,templates\style_guide_template.json,1,89,3126,0,0,0.0
world_template.json,templates\world_template.json,1,175,5738,0,0,0.0
tests,tests,18,4119,244657,11,13,9.777777777777779
.pytest_cache,tests\.pytest_cache,5,142,12970,0,5,0.0
conftest.py,tests\conftest.py,1,356,12902,1,0,7.0
logs,tests\logs,1,584,95085,0,0,0.0
mocks,tests\mocks,2,309,11805,2,0,12.0
pytest.ini,tests\pytest.ini,1,28,823,0,0,0.0
unit,tests\unit,8,2700,111072,8,8,18.125
utilities,utilities,11,6626,265915,10,0,58.81818181818182
README.md,utilities\README.md,1,527,14791,0,0,0.0
api_key_manager.py,utilities\api_key_manager.py,1,553,18953,1,0,71.0
backup_manager.py,utilities\backup_manager.py,1,513,21318,1,0,73.0
cleanup_storage.py,utilities\cleanup_storage.py,1,378,16275,1,0,70.0
codebase_refresh.py,utilities\codebase_refresh.py,1,486,18654,1,0,38.0
logging_system.py,utilities\logging_system.py,1,354,15640,1,0,30.0
maintenance.py,utilities\maintenance.py,1,404,17085,1,0,42.0
optimize_database.py,utilities\optimize_database.py,1,412,17234,1,0,43.0
performance_monitor.py,utilities\performance_monitor.py,1,933,39389,1,0,71.0
storypack_importer.py,utilities\storypack_importer.py,1,1409,58677,1,0,148.0
system_profiler.py,utilities\system_profiler.py,1,657,27899,1,0,61.0
